crv_nm,scn_no,tenor,rate,df,zero_rate
CHAR,INT,INT,FLOAT,FLOAT,FLOAT
INTERBCRV.EUR,0,1,-0.0037444,1.0000103,-0.0037444
INTERBCRV.EUR,0,7,-0.0037997,1.0000729,-0.0037997
INTERBCRV.EUR,0,30,-0.0037677,1.0003097,-0.0037677
INTERBCRV.EUR,0,61,-0.0034353,1.0005743,-0.0034353
INTERBCRV.EUR,0,91,-0.0030285,1.0007553,-0.0030285
INTERBCRV.EUR,0,121,-0.0026597,1.0008821,-0.0026597
INTERBCRV.EUR,0,151,-0.0022991,1.0009516,-0.0022991
INTERBCRV.EUR,0,182,-0.0019263,1.0009610,-0.0019263
INTERBCRV.EUR,0,212,-0.0016725,1.0009719,-0.0016725
INTERBCRV.EUR,0,243,-0.0014323,1.0009540,-0.0014323
INTERBCRV.EUR,0,273,-0.0011999,1.0008978,-0.0011999
INTERBCRV.EUR,0,304,-0.0009557,1.0007963,-0.0009557
INTERBCRV.EUR,0,334,-0.0007186,1.0006578,-0.0007186
INTERBCRV.EUR,0,365,-0.0004735,1.0004736,-0.0004735
INTERBCRV.EUR,0,549,-0.0015406,1.0023200,-0.0015406
INTERBCRV.EUR,0,730,-0.0015087,1.0030220,-0.0015087
INTERBCRV.EUR,0,1095,-0.0011393,1.0034237,-0.0011393
INTERBCRV.EUR,0,1460,-0.0004672,1.0018706,-0.0004672
INTERBCRV.EUR,0,1825,0.0003754,0.9981246,0.0003754
INTERBCRV.EUR,0,2190,0.0013668,0.9918329,0.0013668
INTERBCRV.EUR,0,2555,0.0024591,0.9829335,0.0024591
INTERBCRV.EUR,0,2920,0.0035795,0.9717702,0.0035795
INTERBCRV.EUR,0,3285,0.0046812,0.9587440,0.0046812
INTERBCRV.EUR,0,3650,0.0056606,0.9449659,0.0056606
INTERBCRV.EUR,0,4015,0.0065243,0.9307472,0.0065243
INTERBCRV.EUR,0,4380,0.0073844,0.9151998,0.0073844
INTERBCRV.EUR,0,4745,0.0079789,0.9014729,0.0079789
INTERBCRV.EUR,0,5110,0.0085678,0.8869656,0.0085678
INTERBCRV.EUR,0,5475,0.0091564,0.8716689,0.0091564
INTERBCRV.EUR,0,5840,0.0094329,0.8599112,0.0094329
INTERBCRV.EUR,0,6205,0.0097032,0.8479321,0.0097032
INTERBCRV.EUR,0,6570,0.0099735,0.8356689,0.0099735
INTERBCRV.EUR,0,6935,0.0102437,0.8231392,0.0102437
INTERBCRV.EUR,0,7300,0.0105138,0.8103606,0.0105138
INTERBCRV.EUR,0,7665,0.0105719,0.8009074,0.0105719
INTERBCRV.EUR,0,8030,0.0106246,0.7915658,0.0106246
INTERBCRV.EUR,0,8395,0.0106774,0.7822507,0.0106774
INTERBCRV.EUR,0,8760,0.0107301,0.7729638,0.0107301
INTERBCRV.EUR,0,9125,0.0107829,0.7637066,0.0107829
INTERBCRV.EUR,0,10950,0.0107337,0.7246902,0.0107337
INTERBCRV.EUR,0,12775,0.0104457,0.6937814,0.0104457
INTERBCRV.EUR,0,14600,0.0101561,0.6661473,0.0101561
INTERBCRV.EUR,0,16425,0.0098665,0.6414710,0.0098665
INTERBCRV.EUR,0,18250,0.0095767,0.6195032,0.0095767
