vol_surf_nm,scn_no,tenor,strike,volatility
CHAR,INT,INT,FLOAT,FLOAT
CAP_VOL_EUR,1,0,-0.1,0.019
CAP_VOL_EUR,1,0,0.1,0.019
CAP_VOL_EUR,1,365,-0.1,0.019
CAP_VOL_EUR,1,365,0.1,0.019
CAP_VOL_EUR,1,730,-0.1,0.02375
CAP_VOL_EUR,1,730,0.1,0.02375
CAP_VOL_EUR,1,1095,-0.1,0.02425
CAP_VOL_EUR,1,1095,0.1,0.024
CAP_VOL_EUR,1,1460,-0.1,0.024
CAP_VOL_EUR,1,1460,0.1,0.024
CAP_VOL_EUR,1,1825,-0.1,0.024
CAP_VOL_EUR,1,1825,0.1,0.024
CAP_VOL_EUR,1,2555,-0.1,0.02225
CAP_VOL_EUR,1,2555,0.1,0.02225
CAP_VOL_EUR,1,3650,-0.1,0.0205
CAP_VOL_EUR,1,3650,0.1,0.0205
CAP_VOL_EUR,1,18250,-0.1,0.0205
CAP_VOL_EUR,1,18250,0.1,0.0205
FLR_VOL_EUR,1,0,-0.1,0.019
FLR_VOL_EUR,1,0,0.1,0.019
FLR_VOL_EUR,1,365,-0.1,0.019
FLR_VOL_EUR,1,365,0.1,0.019
FLR_VOL_EUR,1,730,-0.1,0.02425
FLR_VOL_EUR,1,730,0.1,0.02425
FLR_VOL_EUR,1,1095,-0.1,0.02475
FLR_VOL_EUR,1,1095,0.1,0.0245
FLR_VOL_EUR,1,1460,-0.1,0.0245
FLR_VOL_EUR,1,1460,0.1,0.0245
FLR_VOL_EUR,1,1825,-0.1,0.0245
FLR_VOL_EUR,1,1825,0.1,0.0245
FLR_VOL_EUR,1,2555,-0.1,0.0225
FLR_VOL_EUR,1,2555,0.1,0.0225
FLR_VOL_EUR,1,3650,-0.1,0.02075
FLR_VOL_EUR,1,3650,0.1,0.02075
FLR_VOL_EUR,1,18250,-0.1,0.02075
FLR_VOL_EUR,1,18250,0.1,0.02075
SWPT_6M_VOL_EUR,1,0,-0.005,0.00209
SWPT_6M_VOL_EUR,1,0,-0.0027,0.00215
SWPT_6M_VOL_EUR,1,0,0,0.00258
SWPT_6M_VOL_EUR,1,0,0.005,0.00359
SWPT_6M_VOL_EUR,1,0,0.01,0.00459
SWPT_6M_VOL_EUR,1,0,0.015,0.00555
SWPT_6M_VOL_EUR,1,0,0.02,0.00647
SWPT_6M_VOL_EUR,1,0,0.025,0.00736
SWPT_6M_VOL_EUR,1,0,0.03,0.00823
SWPT_6M_VOL_EUR,1,0,0.035,0.00907
SWPT_6M_VOL_EUR,1,0,0.04,0.0099
SWPT_6M_VOL_EUR,1,0,0.05,0.01152
SWPT_6M_VOL_EUR,1,365,-0.005,0.00209
SWPT_6M_VOL_EUR,1,365,-0.0027,0.00215
SWPT_6M_VOL_EUR,1,365,0,0.00258
SWPT_6M_VOL_EUR,1,365,0.005,0.00359
SWPT_6M_VOL_EUR,1,365,0.01,0.00459
SWPT_6M_VOL_EUR,1,365,0.015,0.00555
SWPT_6M_VOL_EUR,1,365,0.02,0.00647
SWPT_6M_VOL_EUR,1,365,0.025,0.00736
SWPT_6M_VOL_EUR,1,365,0.03,0.00823
SWPT_6M_VOL_EUR,1,365,0.035,0.00907
SWPT_6M_VOL_EUR,1,365,0.04,0.0099
SWPT_6M_VOL_EUR,1,365,0.05,0.01152
SWPT_6M_VOL_EUR,1,730,-0.005,0.00334
SWPT_6M_VOL_EUR,1,730,-0.0002,0.00367
SWPT_6M_VOL_EUR,1,730,0,0.0037
SWPT_6M_VOL_EUR,1,730,0.005,0.00444
SWPT_6M_VOL_EUR,1,730,0.01,0.00527
SWPT_6M_VOL_EUR,1,730,0.015,0.00611
SWPT_6M_VOL_EUR,1,730,0.02,0.00694
SWPT_6M_VOL_EUR,1,730,0.025,0.00775
SWPT_6M_VOL_EUR,1,730,0.03,0.00854
SWPT_6M_VOL_EUR,1,730,0.035,0.00932
SWPT_6M_VOL_EUR,1,730,0.04,0.01007
SWPT_6M_VOL_EUR,1,730,0.05,0.01155
SWPT_6M_VOL_EUR,1,1825,-0.005,0.00534
SWPT_6M_VOL_EUR,1,1825,0,0.00565
SWPT_6M_VOL_EUR,1,1825,0.005,0.00602
SWPT_6M_VOL_EUR,1,1825,0.0087,0.00631
SWPT_6M_VOL_EUR,1,1825,0.01,0.00642
SWPT_6M_VOL_EUR,1,1825,0.015,0.00685
SWPT_6M_VOL_EUR,1,1825,0.02,0.00729
SWPT_6M_VOL_EUR,1,1825,0.025,0.00774
SWPT_6M_VOL_EUR,1,1825,0.03,0.0082
SWPT_6M_VOL_EUR,1,1825,0.035,0.00866
SWPT_6M_VOL_EUR,1,1825,0.04,0.00911
SWPT_6M_VOL_EUR,1,1825,0.05,0.01002
SWPT_6M_VOL_EUR,1,18250,-0.005,0.00534
SWPT_6M_VOL_EUR,1,18250,0,0.00565
SWPT_6M_VOL_EUR,1,18250,0.005,0.00602
SWPT_6M_VOL_EUR,1,18250,0.0087,0.00631
SWPT_6M_VOL_EUR,1,18250,0.01,0.00642
SWPT_6M_VOL_EUR,1,18250,0.015,0.00685
SWPT_6M_VOL_EUR,1,18250,0.02,0.00729
SWPT_6M_VOL_EUR,1,18250,0.025,0.00774
SWPT_6M_VOL_EUR,1,18250,0.03,0.0082
SWPT_6M_VOL_EUR,1,18250,0.035,0.00866
SWPT_6M_VOL_EUR,1,18250,0.04,0.00911
SWPT_6M_VOL_EUR,1,18250,0.05,0.01002
